URL,SIZE,NO. OF OUTLINKS,CONTENT_TYPE
http://www.nbcnews.com/,517896,410,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/flight-attendants-train-spot-human-trafficking-n716181,110915,95,text/html; charset=utf-8
http://www.nbcnews.com/video/scarlett-johansson-calls-on-lawmakers-to-support-planned-parenthood-859831875745,324151,140,text/html; charset=utf-8
http://www.nbcnews.com/video/senators-join-stage-at-women-s-march-for-message-of-solidarity-859815491711,323395,140,text/html; charset=utf-8
http://www.nbcnews.com/health/health-care/five-obamacare-provisions-trump-could-change-right-away-n709771,96303,93,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/study-takes-new-look-how-big-events-fuel-u-s-n519071,101929,95,text/html; charset=utf-8
http://www.nbcnews.com/health/cancer,126924,134,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/anna-yocca-tennessee-woman-coat-hanger-attempted-abortion-case-released-n705416,98052,86,text/html; charset=utf-8
http://www.nbcnews.com/video/threatened-with-violence-muslim-women-take-matters-into-their-own-hands-819446851593,323671,140,text/html; charset=utf-8
http://www.nbcnews.com/video/polish-protest-across-europe-against-near-total-ban-on-abortion-778147907973,323162,140,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/dc-s-march-life-highlight-gains-abortion-opponents-n712906,103828,91,text/html; charset=utf-8
http://www.nbcnews.com/news/latino/lapd-s-1st-latina-commander-cancer-survivor-marches-rose-bowl-n701011,100903,94,text/html; charset=utf-8
http://www.nbcnews.com/health/health-news/obese-couples-take-longer-conceive-study-finds-n716471,89142,89,text/html; charset=utf-8
http://www.nbcnews.com/health/cancer/one-three-women-diagnosed-breast-cancer-wrongly-study-n704941,103251,96,text/html; charset=utf-8
http://www.nbcnews.com/health/womens-health/global-gag-rule-will-cause-more-abortions-not-fewer-groups-n711471,95642,91,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/trump-reinstates-reagan-era-anti-abortion-policy-n710081,91248,84,text/html; charset=utf-8
http://www.nbcnews.com/health/cancer/women-often-skip-mammograms-after-false-positive-n719011,92767,95,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/abortion-clinics-report-threats-violence-rise-n719426,111068,97,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/u-s-abortion-rate-now-lowest-level-it-s-been-n707791,87610,88,text/html; charset=utf-8
http://www.nbcnews.com/health/health-care/doctors-make-case-obamacare-or-something-it-n716196,97040,89,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/roe-v-wade-attorney-trump-biggest-threat-yet-reproductive-rights-n707871,117236,102,text/html; charset=utf-8
http://www.nbcnews.com/video/premature-births-on-the-rise-797944899581,321214,140,text/html; charset=utf-8
http://www.nbcnews.com/video/new-mom-welcomes-twins-at-60-775629891553,321654,140,text/html; charset=utf-8
http://www.nbcnews.com/health/health-news/limit-lead-levels-lipstick-other-cosmetics-fda-says-n699076,88105,88,text/html; charset=utf-8
http://www.nbcnews.com/video/pence-at-march-for-life-society-judged-by-how-we-care-for-our-most-vulnerable-864221251741,324654,140,text/html; charset=utf-8
http://www.nbcnews.com/video/white-house-app-delivers-virtual-tour-of-grounds-822171203832,322258,140,text/html; charset=utf-8
http://www.nbcnews.com/tech/video-games/super-mario-run-hit-players-scammers-n699126,83952,86,text/html; charset=utf-8
http://www.nbcnews.com/video/how-deleteuber-became-a-thing-in-60-seconds-867077187714,322802,140,text/html; charset=utf-8
http://www.nbcnews.com/mach/technology/fertility-fitbit-more-women-choose-have-babies-later-life-n654411,93514,86,text/html; charset=utf-8
http://www.nbcnews.com/tech/internet/prosecutors-get-warrant-amazon-echo-data-arkansas-murder-case-n700776,133030,100,text/html; charset=utf-8
http://www.nbcnews.com/tech/apple,114662,121,text/html; charset=utf-8
http://www.nbcnews.com/news/latino/few-latinos-minorities-tech-shareholders-can-push-change-n718266,100118,90,text/html; charset=utf-8
http://www.nbcnews.com/nightly-news/video/lithium-ion-battery-may-be-cause-for-exploding-laptop-in-california-video-870312515737,508320,170,text/html; charset=utf-8
http://www.nbcnews.com/business/business-news/ups-finally-hit-mark-holiday-while-fedex-stumbled-late-n487526,96930,86,text/html; charset=utf-8
http://www.nbcnews.com/tech/mobile/snowed-app-can-help-you-dig-out-n704806,80750,80,text/html; charset=utf-8
http://www.nbcnews.com/tech/apple/have-valentine-s-day-questions-ask-siri-n719466,82616,81,text/html; charset=utf-8
http://www.nbcnews.com/tech/innovation/your-airport-vending-machine-just-got-major-upgrade-n696901,87701,91,text/html; charset=utf-8
http://www.nbcnews.com/news/world/era-email-overload-may-never-arrive-myanmar-n705171,108366,93,text/html; charset=utf-8
